Iteration min current max
32000000 44 55 57
32100000 33 54 59
32200000 40 54 59
32300000 40 57 57
32400000 35 55 59
32500000 44 55 57
32600000 33 55 57
32700000 40 51 59
32800000 35 54 59
32900000 40 55 59
33000000 32 54 59
33100000 44 55 59
33200000 46 55 59
33300000 42 55 59
33400000 45 53 58
33419146 40 64 64
