Iteration min current max
32000000 35 55 58
32100000 36 55 59
32200000 33 50 59
32300000 38 55 58
32400000 40 54 58
32500000 36 51 59
32600000 36 54 59
32700000 36 52 59
32800000 38 44 59
32900000 39 53 55
33000000 40 54 55
33100000 35 51 58
33200000 36 55 59
33300000 36 49 59
33400000 36 53 59
33500000 32 55 58
33600000 36 53 59
33700000 35 54 59
33800000 33 54 59
33900000 36 57 59
34000000 35 56 59
34100000 36 53 59
34200000 32 54 59
34300000 36 55 58
34400000 40 54 59
34500000 40 54 59
34600000 44 54 58
34700000 36 54 59
34800000 40 54 59
34900000 36 53 59
35000000 38 54 58
35100000 40 52 55
35200000 35 53 58
35300000 36 57 59
35400000 40 54 59
35500000 44 54 58
35600000 36 58 59
35700000 40 54 59
35800000 36 53 59
35900000 33 52 59
36000000 38 51 58
36100000 36 52 60
36200000 37 54 59
36300000 38 54 58
36400000 40 55 55
36500000 36 56 58
36600000 40 56 59
36700000 44 53 58
36800000 40 59 59
36900000 36 53 59
37000000 40 54 59
37100000 36 54 59
37200000 38 54 58
37300000 40 53 55
37400000 35 46 58
37500000 36 54 59
37600000 36 53 58
37700000 40 54 59
37800000 44 54 58
37900000 40 57 59
38000000 36 54 59
38100000 36 57 59
38200000 40 55 59
38300000 32 54 59
38400000 38 53 58
38500000 40 54 55
38600000 35 54 59
38700000 40 53 59
38800000 33 53 60
38900000 37 54 59
39000000 38 54 58
39100000 40 51 55
39200000 36 54 59
39300000 40 54 59
39400000 38 53 55
39500000 40 53 55
39600000 35 55 59
39700000 40 54 59
39800000 36 54 59
39900000 26 41 59
40000000 28 41 44
40100000 29 40 47
40200000 35 53 55
40300000 32 53 55
40400000 35 52 55
40500000 27 41 55
40600000 28 34 46
40700000 29 41 47
40800000 25 37 47
40900000 32 41 47
41000000 29 37 47
41100000 32 43 47
41200000 26 45 47
41300000 33 51 57
41400000 35 55 57
41500000 32 55 57
41600000 35 53 59
41700000 32 54 59
41800000 35 57 59
41900000 33 57 59
42000000 44 54 59
42100000 44 55 57
42200000 40 55 57
42300000 35 45 59
42400000 41 55 59
42500000 44 56 57
42600000 40 57 57
42700000 33 54 59
42800000 40 54 59
42900000 44 55 57
43000000 40 55 57
